"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"97","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","31","-","28","-","3","-",34,"–","51-9041","    7.04","   17.24","    6.97","    1.53","    1.12","    0.00","   0.10","2011","51-904"
"98","Farmers, ranchers, and other agricultural managers","98","800","81","855","17","-",978,"55.9","2598276","  112.47","  378.49","  198.53","   79.22","  174.08","   26.41","   7.82","2011","259827"
"99","Fence erectors","32","-","32","-","0","-",45,"–","47-4031","   16.56","   16.47","    8.01","    1.66","    1.94","    0.36","   0.00","2011","47-403"
"100","File clerks","248","616","32","-","217","620",334,"40.799999999999997","43-4071","   13.03","   98.53","  107.21","   41.42","   59.12","   13.03","   1.67","2011","43-407"
"101","Financial analysts","63","1737","40","-","22","-",84,"39.299999999999997","13-2051","    0.25","    2.69","    6.38","    2.35","   38.89","   28.56","   4.87","2011","13-205"
"102","Financial clerks, all other","64","793","16","-","48","-",64,"41.7","43-3099","    1.02","   15.94","   17.22","    5.76","   17.22","    6.34","   0.51","2011","43-309"
"103","Financial examiners","7","-","2","-","5","-",8,"–","13-2061","    0.02","    0.40","    0.90","    0.28","    4.26","    1.79","   0.34","2011","13-206"
"104","Financial managers","1044","1166","477","1504","567","991",1107,"43.6","413395","    8.86","  118.45","  222.51","   83.03","  446.12","  201.47","  25.46","2011","413395"
"105","Financial specialists, all other","72","913","30","-","41","-",77,"43","13-2099","    1.00","    7.93","   16.48","    5.78","   29.64","   14.17","   2.00","2011","13-209"
"106","Firefighters","291","1000","281","998","11","-",305,"37.299999999999997","33-2011","    1.83","   50.02","  128.41","   61.61","   57.34","    5.19","   0.61","2011","33-201"
"107","First-line supervisors of construction trades and extraction workers","482","992","467","1001","15","-",634,"45.2","47-1011","   86.22","  270.08","  162.30","   44.38","   61.50","    8.24","   1.90","2011","47-101"
"108","First-line supervisors of correctional officers","41","-","30","-","11","-",42,"–","33-1011","    0.38","   10.29","   13.61","    5.50","    9.03","    2.73","   0.46","2011","33-101"
"109","First-line supervisors of farming, fishing, and forestry workers","38","-","35","-","3","-",52,"51.8","45-1011","   15.60","   15.70","    8.32","    3.02","    7.54","    1.30","   0.47","2011","45-101"
"110","First-line supervisors of fire fighting and prevention workers","40","-","39","-","1","-",44,"–","33-1021","    0.18","    5.59","   17.51","   10.38","    8.23","    1.80","   0.26","2011","33-102"
"111","First-line supervisors of housekeeping and janitorial workers","179","646","113","756","67","488",292,"48.9","37-1011","   46.14","  120.30","   75.04","   19.56","   25.40","    4.67","   0.88","2011","37-101"
"112","First-line supervisors of mechanics, installers, and repairers","327","947","306","936","21","-",313,"49.7","49-1011","   20.03","  112.05","   98.28","   37.87","   35.99","    8.45","   0.63","2011","49-101"
"113","First-line supervisors of office and administrative support workers","1274","764","418","833","856","741",1423,"45.7","43-1011","   39.84","  335.83","  431.17","  159.38","  347.21","   91.07","  18.50","2011","43-101"
"114","First-line supervisors of personal service workers","67","613","21","-","46","-",192,"43.1","39-1021","    9.41","   57.98","   55.30","   19.58","   40.51","    7.30","   1.92","2011","39-102"
"115","First-line supervisors of production and operating workers","654","888","530","929","124","665",727,"47.1","51-1011","   73.43","  284.26","  194.11","   55.98","   94.51","   21.08","   3.64","2011","51-101"
"116","First-line supervisors of protective service workers, all other","96","716","73","788","23","-",111,"47.2","33-1099","    3.44","   23.98","   37.63","   13.65","   23.09","    7.44","   1.78","2011","33-109"
"117","First-line supervisors of retail sales workers","2223","676","1263","759","959","599",3217,"42.6","41-1011","  196.24","  977.97","  939.36","  289.53","  682.00","  109.38","  22.52","2011","41-101"
"118","Flight attendants","52","791","14","-","38","-",88,"45.5","53-2031","    0.44","   13.99","   30.80","    9.77","   29.74","    2.73","   0.62","2011","53-203"
