"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"675","Meter readers, utilities","–","39","–","34","–","4",29,"–","43-5041","    0.93","   12.44","    9.69","    2.44","    3.19","    0.32","   0.00","2015","43-504"
"676","Morticians, undertakers, and funeral directors","–","23","–","17","–","7",38.5,"–","39-4031","    0.46","    3.66","    7.74","   13.09","   11.24","    1.16","   1.16","2015","39-403"
"677","Motion picture projectionists","–","3","–","3","–","0",3.5,"–","39-3021","    0.10","    0.75","    1.05","    0.52","    0.80","    0.29","   0.00","2015","39-302"
"678","Motor vehicle operators, all other","–","21","–","18","–","3",68.5,"59.3","53-3099","    7.74","   29.87","   15.96","    6.23","    7.06","    1.16","   0.55","2015","53-309"
"679","Natural sciences managers","–","24","–","11","–","13",16,"–","2637722","    0.13","    0.26","    0.50","    0.46","    5.90","    5.07","   3.66","2015","263772"
"680","New accounts clerks","–","20","–","3","–","17",25.5,"–","43-4141","    0.38","    5.18","    9.08","    3.01","    7.04","    0.59","   0.23","2015","43-414"
"681","Nonfarm animal caretakers","505","100","–","32","501","68",177,"32.1","39-2021","   15.22","   62.84","   47.44","   16.99","   28.32","    4.96","   1.24","2015","39-202"
"682","Nurse anesthetists","–","23","–","11","–","12",25.5,"–","29-1151","    0.00","    0.00","    0.00","    0.00","    3.67","   18.33","   3.49","2015","29-115"
"683","Occupational therapists","1210","74","–","10","1199","64",115,"40.700000000000003","29-1122","    0.23","    1.15","    1.03","    6.79","   47.38","   51.98","   6.44","2015","29-112"
"684","Office clerks, general","620","929","609","156","622","773",1143.5,"42.7","43-9061","   42.31","  345.34","  362.49","  144.08","  203.54","   37.74","   8.00","2015","43-906"
"685","Office machine operators, except computer","–","31","–","14","–","16",43.5,"–","43-9071","    3.00","   14.01","   13.57","    5.74","    6.31","    0.83","   0.00","2015","43-907"
"686","Operations research analysts","1441","122","1574","59","1325","63",129,"44.8","15-2031","    0.77","    7.87","   19.35","    9.16","   51.21","   35.35","   5.29","2015","15-203"
"687","Opticians, dispensing","–","44","–","21","–","23",50.5,"–","29-2081","    1.21","   13.13","   17.02","    8.79","    8.89","    0.91","   0.50","2015","29-208"
"688","Optometrists","–","19","–","6","–","13",37,"–","29-1041","    0.00","    0.00","    0.00","    0.00","    0.00","    0.67","  36.33","2015","29-104"
"689","Packaging and filling machine operators and tenders","518","239","605","118","482","120",282.5,"39.9","51-9111","   98.03","  118.93","   42.09","   10.73","   10.45","    1.41","   0.85","2015","51-911"
"690","Paralegals and legal assistants","927","341","–","47","910","294",411,"42","23-2011","    3.70","   39.46","  101.11","   83.43","  144.67","   25.48","  12.74","2015","23-201"
"691","Parking lot attendants","492","57","–","49","–","8",84.5,"28.3","53-6021","   13.60","   30.76","   21.46","    6.25","   10.65","    1.52","   0.25","2015","53-602"
"692","Paving, surfacing, and tamping equipment operators","–","10","–","10","–","0",22.5,"–","47-2071","    6.88","   12.49","    2.52","    0.47","    0.14","    0.00","   0.00","2015","47-207"
"693","Payroll and timekeeping clerks","757","128","–","17","751","111",155.5,"47.6","43-3051","    3.11","   40.59","   55.82","   21.77","   29.39","    4.20","   0.62","2015","43-305"
"694","Personal care aides","462","680","537","128","441","552",1156.5,"44.2","39-9021","  190.82","  400.15","  312.25","   99.46","  120.28","   26.60","   6.94","2015","39-902"
"695","Personal care and service workers, all other","499","67","–","35","–","32",100,"35.299999999999997","39-9099","    8.70","   28.80","   27.30","    8.30","   20.50","    5.60","   0.80","2015","39-909"
"696","Pest control workers","585","77","591","74","–","3",75,"42.9","37-2021","    5.85","   31.80","   22.05","    6.30","    8.03","    0.82","   0.15","2015","37-202"
"697","Pharmacists","1920","206","2117","98","1811","108",281.5,"42.7","29-1051","    0.00","    0.00","    3.94","    2.53","   99.65","   16.89"," 158.48","2015","29-105"
"698","Photographers","–","45","–","24","–","21",179,"40.1","27-4021","    3.40","   19.33","   43.68","   20.94","   74.82","   14.68","   2.15","2015","27-402"
"699","Photographic process workers and processing machine operators","–","26","–","12","–","14",49,"–","51-9151","    1.57","   15.73","   14.06","    4.46","   11.56","    1.27","   0.39","2015","51-915"
"700","Physical scientists, all other","1553","189","1770","121","1170","68",156,"43.2","19-2099","    0.00","    0.00","    0.00","    0.00","   41.50","   35.41","  79.09","2015","19-209"
"701","Physician assistants","1368","57","–","17","–","40",118.5,"39.200000000000003","29-1071","    0.24","    1.19","    3.08","    5.45","   21.33","   68.37","  18.84","2015","29-107"
"702","Plasterers and stucco masons","–","20","–","19","–","1",22.5,"–","47-2161","   11.16","    8.12","    2.07","    0.40","    0.68","    0.04","   0.02","2015","47-216"
"703","Podiatrists","–","9","–","5","–","4",10.5,"–","29-1081","    0.00","    0.00","    0.00","    0.00","    0.00","    0.09","  10.41","2015","29-108"
"704","Postal service clerks","927","127","974","76","833","51",124,"52.1","43-5051","    3.72","   37.32","   47.37","   14.01","   19.22","    1.98","   0.25","2015","43-505"
"705","Prepress technicians and workers","–","14","–","12","–","2",31,"–","51-5111","    2.70","   10.08","    8.68","    4.65","    4.12","    0.68","   0.06","2015","51-511"
"706","Pressers, textile, garment, and related materials","–","21","–","9","–","12",54.5,"45.7","51-6021","   24.69","   19.62","    6.81","    1.64","    1.64","    0.05","   0.00","2015","51-602"
"707","Private detectives and investigators","843","85","–","49","–","36",94.5,"43.5","33-9021","    0.57","    7.94","   20.79","    7.94","   41.20","   12.95","   3.21","2015","33-902"
"708","Procurement clerks","–","35","–","15","–","21",27,"–","43-3061","    0.22","    5.75","    7.67","    3.08","    7.26","    2.73","   0.30","2015","43-306"
"709","Production, planning, and expediting clerks","838","256","978","116","732","141",277,"46.1","43-5061","    7.20","   62.60","   82.55","   34.35","   67.86","   20.50","   1.94","2015","43-506"
"710","Proofreaders and copy markers","–","2","–","0","–","2",8.5,"–","43-9081","    0.05","    1.13","    1.69","    0.43","    3.61","    1.30","   0.28","2015","43-908"
"711","Property, real estate, and community association managers","914","401","1137","171","823","230",649,"50.8","2645027","   27.26","  123.31","  166.14","   60.36","  197.94","   58.41","  15.58","2015","264502"
"712","Public relations and fundraising managers","1557","59","–","24","–","35",56.5,"41.1","48153","    0.28","    1.13","    5.20","    1.64","   33.11","   13.45","   1.64","2015","48153"
"713","Public relations specialists","1211","120","–","49","971","71",152,"37.4","27-3031","    1.22","    4.56","   14.59","    6.99","   86.94","   31.16","   6.69","2015","27-303"
"714","Purchasing managers","1348","193","1404","109","1226","84",201,"47.5","424353","    1.61","   21.11","   38.99","   15.88","   80.20","   38.59","   4.82","2015","424353"
"715","Rail-track laying and maintenance equipment operators","–","9","–","9","–","0",11.5,"–","47-4061","    0.71","    6.26","    3.67","    0.54","    0.31","    0.00","   0.00","2015","47-406"
"716","Railroad conductors and yardmasters","1117","55","1137","52","–","4",51,"39","53-4031","    0.46","   18.16","   19.02","    5.56","    6.99","    0.46","   0.36","2015","53-403"
"717","Receptionists and information clerks","575","852","619","72","569","781",1281.5,"37.6","43-4171","   51.26","  420.33","  434.43","  157.62","  179.41","   33.32","   3.84","2015","43-417"
"718","Refuse and recyclable material collectors","501","72","496","66","–","6",107,"41.1","53-7081","   29.75","   50.40","   17.98","    5.24","    3.10","    0.43","   0.11","2015","53-708"
"719","Registered nurses","1116","2382","1222","278","1098","2104",2883.5,"44.2","29-1141","    8.65","   34.60","  158.59","  977.51"," 1386.96","  259.51","  57.67","2015","29-114"
"720","Religious workers, all other","–","44","–","23","–","21",71.5,"47.1","21-2099","    1.72","    9.51","   13.80","    5.93","   23.59","   12.58","   4.36","2015","21-209"
"721","Reservation and transportation ticket agents and travel clerks","713","95","–","34","680","61",118,"44.2","43-4181","    2.36","   26.31","   41.06","   13.45","   29.85","    4.37","   0.59","2015","43-418"
"722","Residential advisors","–","24","–","8","–","16",49,"–","39-9041","    2.25","    8.72","   14.95","    5.88","   11.56","    4.51","   1.08","2015","39-904"
"723","Retail salespersons","590","1918","694","1159","494","759",3285.5,"34.700000000000003","41-2031","  223.41","  965.94","  936.37","  331.84","  683.38","  124.85","  23.00","2015","41-203"
"724","Roofers","584","171","580","170","–","2",199.5,"37.299999999999997","47-2181","   92.97","   74.41","   23.34","    3.79","    4.59","    0.20","   0.20","2015","47-218"
"725","Sales engineers","–","33","–","31","–","2",31.5,"–","41-9031","    0.19","    1.29","    4.47","    3.31","   17.20","    4.82","   0.19","2015","41-903"
"726","Sales representatives, services, all other","966","406","1147","268","699","139",444.5,"42.1","41-3099","    8.89","   62.67","  107.57","   35.12","  188.47","   37.78","   4.00","2015","41-309"
"727","Sawing machine setters, operators, and tenders, wood","–","26","–","22","–","4",31.5,"–","51-7041","    9.36","   15.62","    4.44","    1.35","    0.66","    0.00","   0.00","2015","51-704"
"728","Securities, commodities, and financial services sales agents","1155","211","1461","146","767","65",279,"41.7","41-3031","    2.79","   19.81","   43.80","   16.74","  138.94","   49.38","   7.25","2015","41-303"
"729","Sewing machine operators","493","147","–","42","476","105",162,"48","51-6031","   68.20","   57.19","   20.25","    7.45","    7.78","    0.97","   0.16","2015","51-603"
"730","Sheet metal workers","766","106","776","100","–","6",118,"43.2","47-2211","   17.82","   55.22","   30.68","    9.20","    4.48","    0.71","   0.00","2015","47-221"
"731","Shipping, receiving, and traffic clerks","591","502","604","354","566","148",545,"41.1","43-5071","   68.67","  249.61","  138.43","   41.97","   39.79","    5.45","   1.09","2015","43-507"
"732","Social and community service managers","1022","305","1142","105","965","200",323.5,"47.5","2648679","    2.91","   25.23","   48.20","   18.76","  121.96","   89.61","  17.47","2015","264867"
"733","Stationary engineers and boiler operators","996","84","1012","81","–","3",106,"48.6","51-8021","    6.47","   41.55","   33.60","   11.24","   10.71","    1.80","   0.64","2015","51-802"
"734","Statistical assistants","–","15","–","5","–","10",28,"–","43-9111","    0.87","    6.41","    7.73","    3.22","    7.36","    1.90","   0.50","2015","43-911"
"735","Stock clerks and order fillers","520","1027","537","651","506","376",1480.5,"35.200000000000003","43-5081","  186.54","  651.42","  377.53","  109.56","  131.76","   19.25","   4.44","2015","43-508"
"736","Structural iron and steel workers","869","54","864","52","–","2",57,"–","47-2221","    9.18","   27.47","   14.25","    3.48","    2.45","    0.06","   0.11","2015","47-222"
"737","Structural metal fabricators and fitters","–","31","–","28","–","3",24,"–","51-2041","    3.65","   10.73","    6.19","    2.21","    1.10","    0.10","   0.02","2015","51-204"
"738","Surveying and mapping technicians","1012","58","1031","54","–","4",65.5,"44.7","17-3031","    4.19","   17.10","   24.63","   14.02","    4.98","    0.46","   0.07","2015","17-303"
"739","Switchboard operators, including answering service","–","17","–","7","–","10",33.5,"–","43-2011","    1.24","   13.03","   11.62","    3.58","    3.38","    0.37","   0.23","2015","43-201"
"740","Tax examiners and collectors, and revenue agents","1051","59","–","20","–","39",71,"45.6","13-2081","    0.99","   11.50","   17.18","    6.18","   26.34","    7.95","   0.85","2015","13-208"
"741","Taxi drivers and chauffeurs","585","253","600","216","–","38",337,"49.2","53-3041","   48.87","  122.67","   79.87","   25.95","   45.16","   11.80","   2.36","2015","53-304"
"742","Teacher assistants","541","614","–","48","530","565",908,"44.8","25-9041","   38.14","  269.68","  246.98","  125.30","  184.32","   38.14","   5.45","2015","25-904"
"743","Telemarketers","–","39","–","17","–","21",95,"31.3","41-9041","    5.51","   28.31","   34.39","   10.73","   12.54","    3.33","   0.19","2015","41-904"
"744","Telephone operators","–","22","–","4","–","18",35.5,"–","43-2021","    1.21","   11.18","   14.66","    3.16","    4.22","    0.75","   0.36","2015","43-202"
"745","Tellers","514","264","–","33","516","231",374.5,"30.9","43-3071","    7.12","  129.20","  133.32","   40.07","   56.55","    6.74","   1.87","2015","43-307"
"746","Tool and die makers","–","49","–","49","–","0",54.5,"51.1","51-4111","    3.54","   22.78","   17.55","    8.56","    1.69","    0.22","   0.11","2015","51-411"
"747","Total, all occupations","809","109080","895","60746","726","48334",143199,"42.4","00-0000","12458.31","34654.16","30501.39","13460.71","32219.78","13890.30","6014.36","2015","00-000"
"748","Training and development managers","–","37","–","17","–","20",35,"–","449919","    0.28","    2.77","    5.78","    2.73","   14.07","    7.70","   1.68","2015","449919"
"749","Training and development specialists","990","107","–","42","1037","65",122.5,"42.5","13-1151","    2.08","   12.98","   27.69","   12.62","   43.12","   21.56","   2.33","2015","13-115"
"750","Transportation attendants, except flight attendants","–","17","–","9","–","8",37.5,"–","53-6061","    4.35","   14.70","   11.47","    2.36","    3.90","    0.56","   0.15","2015","53-606"
"751","Transportation inspectors","–","21","–","14","–","7",40.5,"–","53-6051","    2.47","   13.81","   11.79","    6.28","    4.66","    1.30","   0.20","2015","53-605"
"752","Transportation, storage, and distribution managers","966","276","1006","224","749","52",275.5,"45.8","428005","   13.50","   81.82","   80.45","   19.84","   60.61","   17.91","   1.10","2015","428005"
"753","Travel agents","711","62","–","9","685","53",75,"53.2","41-3041","    0.98","   12.97","   24.82","   10.72","   20.25","    4.58","   0.68","2015","41-304"
"754","Urban and regional planners","–","22","–","13","–","9",24,"–","19-3051","    0.34","    0.24","    1.54","    0.60","    9.26","   10.94","   1.08","2015","19-305"
"755","Ushers, lobby attendants, and ticket takers","–","9","–","5","–","4",41,"–","39-3031","    3.24","   13.20","   10.17","    3.85","    7.58","    2.50","   0.49","2015","39-303"
"756","Veterinarians","1455","55","–","16","–","39",86,"46.8","29-1131","    0.00","    0.00","    0.00","    0.00","    0.00","    1.55","  84.45","2015","29-113"
"757","Waiters and waitresses","451","868","501","305","411","563",2124,"26.2","35-3031","  278.24","  696.67","  620.21","  193.28","  290.99","   38.23","   6.37","2015","35-303"
"758","Water and wastewater treatment plant and system operators","880","82","868","79","–","3",70,"49.8","51-8031","    2.73","   26.74","   23.45","    8.89","    6.93","    0.91","   0.35","2015","51-803"
"759","Weighers, measurers, checkers, and samplers, recordkeeping","629","59","–","29","–","31",79,"46.5","43-5111","   11.14","   27.89","   19.04","    7.43","   10.82","    2.37","   0.32","2015","43-511"
