"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"255","Actuaries","25","17","9",27,"–","15-2011","2013","15-201","less.hs",0,"hs-"
"256","Adhesive bonding machine operators and tenders","11","5","5",10.5,"–","51-9191","2013","51-919","less.hs",2.08,"hs-"
"257","Administrative services managers","109","71","38",128.5,"49.4","406090","2013","406090","less.hs",2.83,"hs-"
"258","Advertising and promotions managers","53","18","35",64,"40.299999999999997","40848","2013","40848","less.hs",0.83,"hs-"
"259","Advertising sales agents","207","110","96",234,"39.299999999999997","41-3011","2013","41-301","less.hs",3.28,"hs-"
"260","Aerospace engineers","137","124","13",131.5,"45.1","17-2011","2013","17-201","less.hs",0.13,"hs-"
"261","Agents and business managers of artists, performers, and athletes","38","20","18",53,"37","13-1011","2013","13-101","less.hs",0.48,"hs-"
"262","Agricultural and food science technicians","23","12","12",30,"–","19-4011","2013","19-401","less.hs",2.58,"hs-"
"263","Agricultural inspectors","11","8","3",14,"–","45-2011","2013","45-201","less.hs",0.95,"hs-"
"264","Aircraft mechanics and service technicians","155","152","3",157.5,"47.5","49-3011","2013","49-301","less.hs",4.25,"hs-"
"265","Aircraft structure, surfaces, rigging, and systems assemblers","16","13","3",18.5,"–","51-2011","2013","51-201","less.hs",2.18,"hs-"
"266","Ambulance drivers and attendants, except emergency medical technicians","12","9","3",18.5,"–","53-3011","2013","53-301","less.hs",1.65,"hs-"
"267","Animal control workers","10","6","4",11,"–","33-9011","2013","33-901","less.hs",0.63,"hs-"
"268","Animal trainers","8","3","5",40,"–","39-2011","2013","39-201","less.hs",2.44,"hs-"
"269","Appraisers and assessors of real estate","60","33","27",95.5,"49.9","13-2021","2013","13-202","less.hs",0.86,"hs-"
"270","Architectural and engineering managers","117","104","13",120.5,"49.7","2608503","2013","260850","less.hs",0.36,"hs-"
"271","Atmospheric and space scientists","11","9","2",14.5,"–","19-2021","2013","19-202","less.hs",0,"hs-"
"272","Audiologists","10","3","7",15,"–","29-1181","2013","29-118","less.hs",0,"hs-"
"273","Automotive and watercraft service attendants","78","67","12",93,"27.3","53-6031","2013","53-603","less.hs",16.65,"hs-"
"274","Automotive body and related repairers","124","123","1",154,"43.2","49-3021","2013","49-302","less.hs",32.34,"hs-"
"275","Avionics technicians","10","6","4",12,"–","49-2091","2013","49-209","less.hs",0.23,"hs-"
"276","Bakers","117","56","61",203,"39.1","51-3011","2013","51-301","less.hs",50.95,"hs-"
"277","Barbers","60","51","9",118,"41.2","39-5011","2013","39-501","less.hs",15.1,"hs-"
"278","Bartenders","207","98","109",414.5,"31.3","35-3011","2013","35-301","less.hs",31.09,"hs-"
"279","Bill and account collectors","156","45","111",191.5,"39.4","43-3011","2013","43-301","less.hs",7.09,"hs-"
"280","Billing and posting clerks","422","42","380",486,"44","43-3021","2013","43-302","less.hs",15.07,"hs-"
"281","Biological technicians","16","9","8",20,"–","19-4021","2013","19-402","less.hs",0.28,"hs-"
"282","Boilermakers","14","14","0",20.5,"–","47-2011","2013","47-201","less.hs",1.97,"hs-"
"283","Bookkeeping, accounting, and auditing clerks","804","102","702",1254.5,"50","43-3031","2013","43-303","less.hs",35.13,"hs-"
"284","Brokerage clerks","2","1","1",3.5,"–","43-4011","2013","43-401","less.hs",0.06,"hs-"
"285","Budget analysts","58","31","26",58.5,"43.8","13-2031","2013","13-203","less.hs",0.23,"hs-"
"286","Bus and truck mechanics and diesel engine specialists","302","301","0",316,"41.7","49-3031","2013","49-303","less.hs",44.87,"hs-"
"287","Business operations specialists, all other","180","69","110",223,"43.7","13-1199","2013","13-119","less.hs",3.79,"hs-"
"288","Buyers and purchasing agents, farm products","17","11","5",13.5,"–","13-1021","2013","13-102","less.hs",1.81,"hs-"
"289","Cabinetmakers and bench carpenters","28","27","0",46,"–","51-7011","2013","51-701","less.hs",8.42,"hs-"
"290","Cargo and freight agents","26","17","9",26.5,"–","43-5011","2013","43-501","less.hs",1.19,"hs-"
"291","Carpenters","712","703","10",1193.5,"42.2","47-2031","2013","47-203","less.hs",293.6,"hs-"
"292","Chefs and head cooks","351","282","69",414,"38.5","35-1011","2013","35-101","less.hs",72.86,"hs-"
"293","Chemical engineers","56","48","8",66,"44.7","17-2041","2013","17-204","less.hs",0.13,"hs-"
"294","Chemical technicians","62","41","21",65.5,"45.3","19-4031","2013","19-403","less.hs",2.55,"hs-"
"295","Childcare workers","441","31","410",1272,"37.700000000000003","39-9011","2013","39-901","less.hs",169.18,"hs-"
"296","Chiropractors","13","12","1",58,"44.4","29-1011","2013","29-101","less.hs",0.35,"hs-"
"297","Civil engineers","324","288","36",359,"43.6","17-2051","2013","17-205","less.hs",0.36,"hs-"
"298","Cleaners of vehicles and equipment","235","206","28",331.5,"31.1","53-7061","2013","53-706","less.hs",117.02,"hs-"
"299","Clergy","343","296","47",409,"51.8","21-2011","2013","21-201","less.hs",9,"hs-"
"300","Coin, vending, and amusement machine servicers and repairers","32","28","4",36.5,"–","49-9091","2013","49-909","less.hs",3.65,"hs-"
"301","Combined food preparation and serving workers, including fast food","175","68","107",360,"27.6","35-3021","2013","35-302","less.hs",76.32,"hs-"
"302","Communications equipment operators, all other","2","0","2",6,"–","43-2099","2013","43-209","less.hs",0.15,"hs-"
"303","Compensation and benefits managers","11","3","8",13.5,"–","442614","2013","442614","less.hs",0,"hs-"
"304","Compensation, benefits, and job analysis specialists","72","14","59",77,"43.6","13-1141","2013","13-114","less.hs",0.69,"hs-"
"305","Compliance officers","182","83","99",197,"48","13-1041","2013","13-104","less.hs",2.17,"hs-"
"306","Computer and information research scientists","15","12","3",23.5,"–","15-1111","2013","15-111","less.hs",0,"hs-"
"307","Computer and information systems managers","570","407","163",603.5,"44.3","409743","2013","409743","less.hs",2.41,"hs-"
"308","Computer hardware engineers","92","82","10",90.5,"41.7","17-2061","2013","17-206","less.hs",0,"hs-"
"309","Computer occupations, all other","359","277","81",375.5,"41.5","15-1199","2013","15-119","less.hs",2.63,"hs-"
"310","Computer operators","80","41","39",98.5,"47.2","43-9011","2013","43-901","less.hs",3.05,"hs-"
"311","Computer programmers","437","332","106",484.5,"42.8","15-1131","2013","15-113","less.hs",3.39,"hs-"
"312","Computer systems analysts","443","285","158",516.5,"41.6","15-1121","2013","15-112","less.hs",2.58,"hs-"
"313","Computer, automated teller, and office machine repairers","240","211","29",290.5,"42","49-2011","2013","49-201","less.hs",7.55,"hs-"
"314","Construction and building inspectors","73","67","5",109.5,"53.3","47-4011","2013","47-401","less.hs",3.72,"hs-"
"315","Construction laborers","1087","1058","29",1461.5,"38.799999999999997","47-2061","2013","47-206","less.hs",458.91,"hs-"
"316","Construction managers","414","376","38",902,"46.9","2601198","2013","260119","less.hs",62.24,"hs-"
"317","Cost estimators","102","89","13",118.5,"46.7","13-1051","2013","13-105","less.hs",4.38,"hs-"
"318","Counter and rental clerks","58","35","24",120,"44.1","41-2021","2013","41-202","less.hs",15.36,"hs-"
"319","Couriers and messengers","127","112","16",205.5,"46.1","43-5021","2013","43-502","less.hs",15.41,"hs-"
"320","Court, municipal, and license clerks","74","21","53",83,"48.4","43-4031","2013","43-403","less.hs",0.83,"hs-"
"321","Crane and tower operators","70","69","1",67,"45.1","53-7021","2013","53-702","less.hs",11.46,"hs-"
"322","Credit analysts","31","12","19",30,"–","13-2041","2013","13-204","less.hs",0.3,"hs-"
"323","Credit authorizers, checkers, and clerks","40","10","30",41.5,"–","43-4041","2013","43-404","less.hs",0.5,"hs-"
"324","Crossing guards","14","7","7",61,"50.2","33-9091","2013","33-909","less.hs",11.77,"hs-"
"325","Customer service representatives","1615","547","1068",2012.5,"36.700000000000003","43-4051","2013","43-405","less.hs",80.5,"hs-"
"326","Data entry keyers","235","46","189",322,"41.9","43-9021","2013","43-902","less.hs",9.02,"hs-"
"327","Database administrators","95","65","30",99.5,"42","15-1141","2013","15-114","less.hs",1,"hs-"
"328","Dental assistants","181","7","174",276.5,"36.799999999999997","31-9091","2013","31-909","less.hs",7.47,"hs-"
"329","Dental hygienists","82","2","80",173.5,"43.9","29-2021","2013","29-202","less.hs",1.04,"hs-"
"330","Detectives and criminal investigators","159","128","30",159,"43.5","33-3021","2013","33-302","less.hs",0.64,"hs-"
"331","Dietitians and nutritionists","82","10","71",113,"45.5","29-1031","2013","29-103","less.hs",3.73,"hs-"
"332","Directors, religious activities and education","41","20","21",59,"45","21-2021","2013","21-202","less.hs",1.3,"hs-"
"333","Dishwashers","127","106","21",286,"29","35-9021","2013","35-902","less.hs",125.27,"hs-"
"334","Door-to-door sales workers, news and street vendors, and related workers","34","23","11",194.5,"46.7","41-9091","2013","41-909","less.hs",31.12,"hs-"
"335","Earth drillers, except oil and gas","26","26","0",34,"–","47-5021","2013","47-502","less.hs",5.88,"hs-"
"336","Economists","29","15","14",30,"–","19-3011","2013","19-301","less.hs",0.24,"hs-"
"337","Editors","112","53","59",154.5,"40","27-3041","2013","27-304","less.hs",0.77,"hs-"
"338","Electrical power-line installers and repairers","113","112","1",113.5,"38.9","49-9051","2013","49-905","less.hs",5.11,"hs-"
"339","Electricians","641","630","11",711,"42.8","47-2111","2013","47-211","less.hs",54.75,"hs-"
"340","Elevator installers and repairers","25","25","0",26.5,"–","47-4021","2013","47-402","less.hs",1.11,"hs-"
"341","Eligibility interviewers, government programs","75","15","60",83.5,"45.1","43-4061","2013","43-406","less.hs",1,"hs-"
"342","Emergency management directors","9","6","3",6.5,"–","2652332","2013","265233","less.hs",0.06,"hs-"
"343","Emergency medical technicians and paramedics","140","82","58",174,"34.6","29-2041","2013","29-204","less.hs",1.39,"hs-"
"344","Engine and other machine assemblers","19","17","2",26,"–","51-2031","2013","51-203","less.hs",2.68,"hs-"
"345","Entertainers and performers, sports and related workers, all other","9","2","7",38,"–","27-2099","2013","27-209","less.hs",1.67,"hs-"
"346","Environmental engineers","28","22","6",38,"–","17-2081","2013","17-208","less.hs",0.15,"hs-"
"347","Explosives workers, ordnance handling experts, and blasters","8","8","0",8,"–","47-5031","2013","47-503","less.hs",0.74,"hs-"
"348","Extruding and drawing machine setters, operators, and tenders, metal and plastic","16","14","2",11.5,"–","51-4021","2013","51-402","less.hs",1.02,"hs-"
"349","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","31","26","5",35.5,"–","51-9041","2013","51-904","less.hs",6.85,"hs-"
"350","Farmers, ranchers, and other agricultural managers","97","78","19",936.5,"56.1","2598276","2013","259827","less.hs",112.38,"hs-"
"351","Fence erectors","24","24","0",34,"–","47-4031","2013","47-403","less.hs",12.14,"hs-"
"352","File clerks","182","42","140",274.5,"40.799999999999997","43-4071","2013","43-407","less.hs",11.53,"hs-"
"353","Financial analysts","89","56","33",97,"38.700000000000003","13-2051","2013","13-205","less.hs",0.19,"hs-"
"354","Financial clerks, all other","54","20","34",53.5,"42.7","43-3099","2013","43-309","less.hs",0.43,"hs-"
"355","Financial examiners","10","4","6",14,"–","13-2061","2013","13-206","less.hs",0.1,"hs-"
"356","Financial managers","1127","514","613",1223,"43.8","413395","2013","413395","less.hs",12.23,"hs-"
"357","Financial specialists, all other","87","38","49",88,"40.5","13-2099","2013","13-209","less.hs",1.06,"hs-"
"358","Firefighters","294","285","9",300.5,"40.1","33-2011","2013","33-201","less.hs",3,"hs-"
"359","First-line supervisors of construction trades and extraction workers","509","501","8",632.5,"46.2","47-1011","2013","47-101","less.hs",86.65,"hs-"
"360","First-line supervisors of correctional officers","33","28","5",41,"–","33-1011","2013","33-101","less.hs",0.41,"hs-"
"361","First-line supervisors of farming, fishing, and forestry workers","34","25","8",49,"–","45-1011","2013","45-101","less.hs",15.83,"hs-"
"362","First-line supervisors of fire fighting and prevention workers","60","60","0",61,"45.6","33-1021","2013","33-102","less.hs",0.06,"hs-"
"363","First-line supervisors of housekeeping and janitorial workers","186","108","78",299.5,"48.6","37-1011","2013","37-101","less.hs",45.22,"hs-"
"364","First-line supervisors of mechanics, installers, and repairers","258","229","29",279,"48.1","49-1011","2013","49-101","less.hs",17.02,"hs-"
"365","First-line supervisors of office and administrative support workers","1224","395","828",1389.5,"45.7","43-1011","2013","43-101","less.hs",36.13,"hs-"
"366","First-line supervisors of personal service workers","72","28","44",237,"44.7","39-1021","2013","39-102","less.hs",11.61,"hs-"
"367","First-line supervisors of production and operating workers","675","550","125",769.5,"47.2","51-1011","2013","51-101","less.hs",73.87,"hs-"
"368","First-line supervisors of protective service workers, all other","82","57","25",96.5,"47","33-1099","2013","33-109","less.hs",2.51,"hs-"
"369","First-line supervisors of retail sales workers","2320","1338","981",3230,"43","41-1011","2013","41-101","less.hs",184.11,"hs-"
"370","Flight attendants","69","16","54",88.5,"49.4","53-2031","2013","53-203","less.hs",0.44,"hs-"
"371","Food and tobacco roasting, baking, and drying machine operators and tenders","6","4","2",10.5,"–","51-3091","2013","51-309","less.hs",1.84,"hs-"
"372","Food preparation workers","398","206","191",876.5,"27.8","35-2021","2013","35-202","less.hs",249.8,"hs-"
"373","Food servers, nonrestaurant","109","36","74",223,"33.200000000000003","35-3041","2013","35-304","less.hs",40.81,"hs-"
"374","Food service managers","716","381","335",1081,"40","2612155","2013","261215","less.hs",104.86,"hs-"
"375","Forest and conservation workers","11","10","1",13.5,"–","45-4011","2013","45-401","less.hs",3.46,"hs-"
"376","Fundraisers","80","22","58",83.5,"42.9","13-1131","2013","13-113","less.hs",1.25,"hs-"
"377","Furnace, kiln, oven, drier, and kettle operators and tenders","10","10","0",15.5,"–","51-9051","2013","51-905","less.hs",2.48,"hs-"
"378","Furniture finishers","5","4","1",7,"–","51-7021","2013","51-702","less.hs",1.72,"hs-"
"379","Gaming cage workers","12","6","6",11,"–","43-3041","2013","43-304","less.hs",0.62,"hs-"
"380","Gaming managers","16","12","4",21.5,"–","2619460","2013","261946","less.hs",1.76,"hs-"
"381","General and operations managers","947","698","250",1069.5,"45.6","11-1021","2013","11-102","less.hs",22.46,"hs-"
"382","Glaziers","31","31","0",41.5,"–","47-2121","2013","47-212","less.hs",8.18,"hs-"
"383","Graders and sorters, agricultural products","91","34","57",106,"42.4","45-2041","2013","45-204","less.hs",63.39,"hs-"
"384","Hazardous materials removal workers","28","20","8",35,"–","47-4041","2013","47-404","less.hs",7.35,"hs-"
"385","Health diagnosing and treating practitioners, all other","7","1","6",24,"–","29-1199","2013","29-119","less.hs",0.29,"hs-"
"386","Heating, air conditioning, and refrigeration mechanics and installers","316","313","3",362,"41.1","49-9021","2013","49-902","less.hs",42.35,"hs-"
"387","Highway maintenance workers","95","95","0",102.5,"48.1","47-4051","2013","47-405","less.hs",13.12,"hs-"
"388","Home appliance repairers","38","38","0",49.5,"48.2","49-9031","2013","49-903","less.hs",5.4,"hs-"
"389","Hosts and hostesses, restaurant, lounge, and coffee shop","69","9","60",279.5,"21.8","35-9031","2013","35-903","less.hs",32.98,"hs-"
"390","Hotel, motel, and resort desk clerks","71","21","50",111,"30.1","43-4081","2013","43-408","less.hs",5.99,"hs-"
"391","Human resources assistants, except payroll and timekeeping","129","26","103",132.5,"42.6","43-4161","2013","43-416","less.hs",3.18,"hs-"
