"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"191","Pharmacists","1917","1998","1898",274,"41.1","29-1051","2011","29-105","less.hs",0.27,"hs-"
"192","Photographers","-","-","-",148,"40.6","27-4021","2011","27-402","less.hs",2.66,"hs-"
"193","Photographic process workers and processing machine operators","-","-","-",43,"–","51-9151","2011","51-915","less.hs",3.1,"hs-"
"194","Physical scientists, all other","1383","1483","1167",152,"40.4","19-2099","2011","19-209","less.hs",0.15,"hs-"
"195","Physician assistants","1220","-","-",82,"37.6","29-1071","2011","29-107","less.hs",0.82,"hs-"
"196","Plasterers and stucco masons","-","-","-",24,"–","47-2161","2011","47-216","less.hs",12,"hs-"
"197","Podiatrists","-","-","-",6,"–","29-1081","2011","29-108","less.hs",0,"hs-"
"198","Postal service clerks","978","1014","892",146,"53.1","43-5051","2011","43-505","less.hs",3.5,"hs-"
"199","Prepress technicians and workers","-","-","-",41,"–","51-5111","2011","51-511","less.hs",2.99,"hs-"
"200","Pressers, textile, garment, and related materials","-","-","-",48,"–","51-6021","2011","51-602","less.hs",22.85,"hs-"
"201","Private detectives and investigators","869","891","-",92,"41.3","33-9021","2011","33-902","less.hs",0.74,"hs-"
"202","Procurement clerks","-","-","-",26,"–","43-3061","2011","43-306","less.hs",0.47,"hs-"
"203","Production, planning, and expediting clerks","812","916","722",236,"44.1","43-5061","2011","43-506","less.hs",6.14,"hs-"
"204","Proofreaders and copy markers","-","-","-",7,"–","43-9081","2011","43-908","less.hs",0.04,"hs-"
"205","Property, real estate, and community association managers","921","1201","728",587,"49.5","2645027","2011","264502","less.hs",25.83,"hs-"
"206","Public relations and fundraising managers","1475","-","-",63,"42.1","48153","2011","48153","less.hs",0.06,"hs-"
"207","Public relations specialists","954","-","887",158,"39.200000000000003","27-3031","2011","27-303","less.hs",0.79,"hs-"
"208","Purchasing managers","1242","1368","1026",204,"48.7","424353","2011","424353","less.hs",2.24,"hs-"
"209","Rail-track laying and maintenance equipment operators","-","-","-",7,"–","47-4061","2011","47-406","less.hs",0.76,"hs-"
"210","Railroad conductors and yardmasters","-","-","-",52,"43.7","53-4031","2011","53-403","less.hs",1.14,"hs-"
"211","Receptionists and information clerks","520","521","520",1259,"38.299999999999997","43-4171","2011","43-417","less.hs",49.1,"hs-"
"212","Refuse and recyclable material collectors","541","580","-",92,"41.3","53-7081","2011","53-708","less.hs",29.72,"hs-"
"213","Registered nurses","1039","1081","1034",2706,"44.7","29-1141","2011","29-114","less.hs",5.41,"hs-"
"214","Religious workers, all other","654","-","-",85,"51.5","21-2099","2011","21-209","less.hs",2.81,"hs-"
"215","Reservation and transportation ticket agents and travel clerks","649","-","-",99,"42.6","43-4181","2011","43-418","less.hs",2.67,"hs-"
"216","Residential advisors","-","-","-",59,"38.6","39-9041","2011","39-904","less.hs",3.13,"hs-"
"217","Retail salespersons","545","620","466",3224,"35.9","41-2031","2011","41-203","less.hs",212.78,"hs-"
