"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"1289","Marine engineers and naval architects
 Show/hide Example Job Titles","17-2121",7.3,8.1,0.8,10.3,2.6,"88100.0","Bachelor's degree","None","None","2012"
"1290","Market research analysts and marketing specialists
 Show/hide Example Job Titles","13-1161",415.7,547.2,131.5,31.6,188.5,"60300.0","Bachelor's degree","None","None","2012"
"1291","Marketing managers
 Show/hide Example Job Titles","44501.0",180.5,203.4,22.9,12.7,61.7,"119480.0","Bachelor's degree","5 years or more","None","2012"
"1292","Marriage and family therapists
 Show/hide Example Job Titles","21-1013",37.8,49.4,11.6,30.6,19.6,"46670.0","Master's degree","None","Internship/residency","2012"
"1293","Massage therapists
 Show/hide Example Job Titles","31-9011",132.8,162.8,30,22.6,44.1,"35970.0","Postsecondary non-degree award","None","None","2012"
"1294","Material moving workers, all other
 Show/hide Example Job Titles","53-7199",28.7,30.2,1.5,5.3,9.4,"37320.0","Less than high school","None","Short-term on-the-job training","2012"
"1295","Materials engineers
 Show/hide Example Job Titles","17-2131",23.2,23.4,0.2,0.9,7.5,"85150.0","Bachelor's degree","None","None","2012"
"1296","Materials scientists
 Show/hide Example Job Titles","19-2032",8.3,8.8,0.4,5.2,2.6,"88990.0","Bachelor's degree","None","None","2012"
"1297","Mathematical science occupations, all other
 Show/hide Example Job Titles","15-2099",1.9,2.2,0.3,13.3,0.7,"56120.0","Bachelor's degree","None","None","2012"
"1298","Mathematical science teachers, postsecondary
 Show/hide Example Job Titles","25-1022",63.3,70.6,7.3,11.5,16.8,"64990.0","Doctoral or professional degree","None","None","2012"
"1299","Mathematical technicians
 Show/hide Example Job Titles","15-2091",1.9,2.1,0.2,12.6,0.7,"56820.0","Bachelor's degree","None","None","2012"
"1300","Mathematicians
 Show/hide Example Job Titles","15-2021",3.5,4.3,0.8,22.7,1.7,"101360.0","Master's degree","None","None","2012"
"1301","Meat, poultry, and fish cutters and trimmers
 Show/hide Example Job Titles","51-3022",163.4,172,8.6,5.3,49,"22830.0","Less than high school","None","Short-term on-the-job training","2012"
"1302","Mechanical door repairers
 Show/hide Example Job Titles","49-9011",15.8,19.6,3.8,23.8,9.1,"36110.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1303","Mechanical drafters
 Show/hide Example Job Titles","17-3013",66.7,63.4,-3.3,-4.9,8.9,"50360.0","Associate's degree","None","None","2012"
"1304","Mechanical engineering technicians
 Show/hide Example Job Titles","17-3027",47.5,49.7,2.2,4.7,12.1,"51980.0","Associate's degree","None","None","2012"
"1305","Mechanical engineers
 Show/hide Example Job Titles","17-2141",258.1,269.7,11.6,4.5,99.7,"80580.0","Bachelor's degree","None","None","2012"
"1306","Media and communication equipment workers, all other
 Show/hide Example Job Titles","27-4099",14.8,14.6,-0.2,-1.5,1.9,"68810.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1307","Media and communication workers, all other
 Show/hide Example Job Titles","27-3099",30.7,32.3,1.5,4.9,5.7,"45160.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1308","Medical and clinical laboratory technicians
 Show/hide Example Job Titles","29-2012",161.5,209.4,47.9,29.7,90.2,"37240.0","Associate's degree","None","None","2012"
"1309","Medical and clinical laboratory technologists
 Show/hide Example Job Titles","29-2011",164.3,187.1,22.7,13.8,65.8,"57580.0","Bachelor's degree","None","None","2012"
"1310","Medical and health services managers
 Show/hide Example Job Titles","2634069.0",315.5,388.8,73.3,23.2,149.9,"88580.0","Bachelor's degree","None","None","2012"
"1311","Medical appliance technicians
 Show/hide Example Job Titles","51-9082",12.9,13.8,0.8,6.4,5.2,"36100.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1312","Medical assistants
 Show/hide Example Job Titles","31-9092",560.8,723.7,162.9,29,269.9,"29370.0","Postsecondary non-degree award","None","None","2012"
"1313","Medical equipment preparers
 Show/hide Example Job Titles","31-9093",51.6,62,10.4,20.3,20.3,"30820.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1314","Medical equipment repairers
 Show/hide Example Job Titles","49-9062",42.3,55.1,12.8,30.3,24.6,"44570.0","Associate's degree","None","Moderate-term on-the-job training","2012"
"1315","Medical records and health information technicians
 Show/hide Example Job Titles","29-2071",186.3,227.5,41.1,22.1,90.4,"34160.0","Postsecondary non-degree award","None","None","2012"
"1316","Medical scientists, except epidemiologists
 Show/hide Example Job Titles","19-1042",103.1,116.8,13.7,13.3,35.5,"76980.0","Doctoral or professional degree","None","None","2012"
"1317","Medical secretaries
 Show/hide Example Job Titles","43-6013",525.6,714.9,189.2,36,252.5,"31350.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1318","Medical transcriptionists
 Show/hide Example Job Titles","31-9094",84.1,90.5,6.4,7.6,22.4,"34020.0","Postsecondary non-degree award","None","None","2012"
"1319","Meeting, convention, and event planners
 Show/hide Example Job Titles","13-1121",94.2,125.4,31.3,33.2,44.2,"45810.0","Bachelor's degree","None","None","2012"
"1320","Mental health and substance abuse social workers
 Show/hide Example Job Titles","21-1023",114.2,140.2,26,22.8,50.2,"39980.0","Bachelor's degree","None","None","2012"
"1321","Mental health counselors
 Show/hide Example Job Titles","21-1014",128.4,165.1,36.7,28.5,64,"40080.0","Master's degree","None","Internship/residency","2012"
"1322","Merchandise displayers and window trimmers
 Show/hide Example Job Titles","27-1026",98.7,108.7,10,10.1,36.1,"26410.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1323","Metal workers and plastic workers, all other
 Show/hide Example Job Titles","51-4199",26.3,27.1,0.8,2.9,3.6,"31060.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1324","Metal-refining furnace operators and tenders
 Show/hide Example Job Titles","51-4051",20.8,18.5,-2.3,-10.9,2.7,"38900.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1325","Meter readers, utilities
 Show/hide Example Job Titles","43-5041",40.2,32.5,-7.7,-19.2,10.1,"35940.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1326","Microbiologists
 Show/hide Example Job Titles","19-1022",20.1,21.6,1.4,7,7.1,"66260.0","Bachelor's degree","None","None","2012"
"1327","Middle school teachers, except special and career/technical education
 Show/hide Example Job Titles","25-2022",614.4,690.4,76,12.4,211.2,"53430.0","Bachelor's degree","None","Internship/residency","2012"
"1328","Milling and planing machine setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4035",23.1,20.2,-2.9,-12.6,4.5,"35820.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1329","Millwrights
 Show/hide Example Job Titles","49-9044",39.4,46.7,7.2,18.4,13.4,"49510.0","High school diploma or equivalent","None","Apprenticeship","2012"
"1330","Mine cutting and channeling machine operators
 Show/hide Example Job Titles","47-5042",7.1,7.3,0.2,2.7,1.5,"47950.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1331","Mine shuttle car operators
 Show/hide Example Job Titles","53-7111",3,2.9,-0.1,-3.7,0.8,"52110.0","Less than high school","None","Short-term on-the-job training","2012"
"1332","Mining and geological engineers, including mining safety engineers
 Show/hide Example Job Titles","17-2151",7.9,8.9,1,12,3,"84320.0","Bachelor's degree","None","None","2012"
"1333","Mining machine operators, all other
 Show/hide Example Job Titles","47-5049",3.1,3.2,0.1,2.7,0.6,"46810.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1334","Mixing and blending machine setters, operators, and tenders
 Show/hide Example Job Titles","51-9023",120.1,116.4,-3.7,-3.1,33.9,"33840.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1335","Mobile heavy equipment mechanics, except engines
 Show/hide Example Job Titles","49-3042",119.3,131.6,12.3,10.3,46.7,"46050.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1336","Model makers, metal and plastic
 Show/hide Example Job Titles","51-4061",6.1,6.3,0.1,2.2,1.3,"45850.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1337","Model makers, wood
 Show/hide Example Job Titles","51-7031",1.3,1.3,0.1,5.5,0.3,"28800.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1338","Models
 Show/hide Example Job Titles","41-9012",4.8,5.5,0.7,15.3,2.1,"18750.0","Less than high school","None","None","2012"
"1339","Molders, shapers, and casters, except metal and plastic
 Show/hide Example Job Titles","51-9195",42,45.1,3.1,7.5,17,"29300.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1340","Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4072",125,105.8,-19.2,-15.4,15.1,"28630.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1341","Morticians, undertakers, and funeral directors
 Show/hide Example Job Titles","39-4031",23.5,26.3,2.8,12.1,7.9,"46840.0","Associate's degree","None","Long-term on-the-job training","2012"
"1342","Motion picture projectionists
 Show/hide Example Job Titles","39-3021",8,5.8,-2.1,-26.5,3.1,"19830.0","Less than high school","None","Short-term on-the-job training","2012"
"1343","Motor vehicle operators, all other
 Show/hide Example Job Titles","53-3099",64.1,71.5,7.4,11.5,25.3,"26930.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1344","Motorboat mechanics and service technicians
 Show/hide Example Job Titles","49-3051",20.8,22,1.1,5.5,5.5,"35530.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1345","Motorboat operators
 Show/hide Example Job Titles","53-5022",3.4,3.6,0.2,5.7,1.8,"35190.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1346","Motorcycle mechanics
 Show/hide Example Job Titles","49-3052",16.8,17.8,1,6.1,4.6,"33140.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1347","Multimedia artists and animators
 Show/hide Example Job Titles","27-1014",68.9,73.2,4.3,6.3,20.6,"61370.0","Bachelor's degree","None","Moderate-term on-the-job training","2012"
"1348","Multiple machine tool setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4081",85.9,74.5,-11.4,-13.2,16.6,"33960.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1349","Museum technicians and conservators
 Show/hide Example Job Titles","25-4013",11.3,12.1,0.8,7.1,3.3,"38220.0","Bachelor's degree","None","None","2012"
"1350","Music directors and composers
 Show/hide Example Job Titles","27-2041",77.6,81.1,3.5,4.5,24.4,"47350.0","Bachelor's degree","Less than 5 years","None","2012"
"1351","Musical instrument repairers and tuners
 Show/hide Example Job Titles","49-9063",8.2,8.7,0.5,6.2,2.8,"30630.0","High school diploma or equivalent","None","Apprenticeship","2012"
"1352","Musicians and singers
 Show/hide Example Job Titles","27-2042",167.4,176.2,8.7,5.2,53.9,"N/A","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1353","Natural sciences managers
 Show/hide Example Job Titles","2637722.0",51.6,54.5,2.9,5.7,13.7,"115730.0","Bachelor's degree","5 years or more","None","2012"
"1354","Network and computer systems administrators
 Show/hide Example Job Titles","15-1142",366.4,409.4,42.9,11.7,100.5,"72560.0","Bachelor's degree","None","None","2012"
"1355","New accounts clerks
 Show/hide Example Job Titles","43-4141",55.7,53,-2.7,-4.9,14.4,"31720.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1356","Nonfarm animal caretakers
 Show/hide Example Job Titles","39-2021",190.6,219.8,29.2,15.3,52.1,"19690.0","Less than high school","None","Short-term on-the-job training","2012"
"1357","Nuclear engineers
 Show/hide Example Job Titles","17-2161",20.4,22.3,1.9,9.3,7.1,"104270.0","Bachelor's degree","None","None","2012"
"1358","Nuclear medicine technologists
 Show/hide Example Job Titles","29-2033",20.9,25.1,4.2,20.2,7.2,"70180.0","Associate's degree","None","None","2012"
"1359","Nuclear power reactor operators
 Show/hide Example Job Titles","51-8011",7.2,7.2,0,0.5,2.3,"74990.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1360","Nuclear technicians
 Show/hide Example Job Titles","19-4051",8.1,9.3,1.2,14.9,4.1,"69060.0","Associate's degree","None","Moderate-term on-the-job training","2012"
"1361","Nurse anesthetists
 Show/hide Example Job Titles","29-1151",35.2,43.9,8.8,24.9,15.6,"148160.0","Master's degree","None","None","2012"
"1362","Nurse midwives
 Show/hide Example Job Titles","29-1161",6,7.7,1.7,28.6,2.9,"89600.0","Master's degree","None","None","2012"
"1363","Nurse practitioners
 Show/hide Example Job Titles","29-1171",110.2,147.3,37.1,33.7,58.5,"89960.0","Master's degree","None","None","2012"
"1364","Nursing assistants
 Show/hide Example Job Titles","31-1014",1479.8,1792,312.2,21.1,593.6,"24420.0","Postsecondary non-degree award","None","None","2012"
"1365","Nursing instructors and teachers, postsecondary
 Show/hide Example Job Titles","25-1072",67.8,91.8,24,35.4,34.2,"64850.0","Master's degree","Less than 5 years","None","2012"
"1366","Obstetricians and gynecologists
 Show/hide Example Job Titles","29-1064",23.6,27,3.4,14.4,9.3,">=187,200","Doctoral or professional degree","None","Internship/residency","2012"
"1367","Occupational health and safety specialists
 Show/hide Example Job Titles","29-9011",62.9,67.1,4.2,6.6,21.3,"66790.0","Bachelor's degree","None","Short-term on-the-job training","2012"
"1368","Occupational health and safety technicians
 Show/hide Example Job Titles","29-9012",12.6,13.9,1.4,10.9,4.8,"47440.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1369","Occupational therapists
 Show/hide Example Job Titles","29-1122",113.2,146.1,32.8,29,48.2,"75400.0","Master's degree","None","None","2012"
"1370","Occupational therapy aides
 Show/hide Example Job Titles","31-2012",8.4,11.4,3,36.2,5.1,"26850.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1371","Occupational therapy assistants
 Show/hide Example Job Titles","31-2011",30.3,43.2,12.9,42.6,20.5,"53240.0","Associate's degree","None","None","2012"
"1372","Office and administrative support workers, all other
 Show/hide Example Job Titles","43-9199",260.3,275,14.8,5.7,87.8,"31060.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1373","Office clerks, general
 Show/hide Example Job Titles","43-9061",2983.5,3167.6,184.1,6.2,810.9,"27470.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1374","Office machine operators, except computer
 Show/hide Example Job Titles","43-9071",68.8,61.8,-7,-10.2,16.4,"27950.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1375","Operating engineers and other construction equipment operators
 Show/hide Example Job Titles","47-2073",351.2,417.6,66.4,18.9,144.4,"41870.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1376","Operations research analysts
 Show/hide Example Job Titles","15-2031",73.2,92.7,19.5,26.7,36,"72100.0","Bachelor's degree","None","None","2012"
"1377","Ophthalmic laboratory technicians
 Show/hide Example Job Titles","51-9083",31,34.7,3.7,12.1,14.2,"28590.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1378","Ophthalmic medical technicians
 Show/hide Example Job Titles","29-2057",29.6,38.4,8.8,29.8,11.7,"34240.0","Postsecondary non-degree award","None","None","2012"
"1379","Opticians, dispensing
 Show/hide Example Job Titles","29-2081",67.6,83.5,15.8,23.4,35.3,"33330.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1380","Optometrists
 Show/hide Example Job Titles","29-1041",33.1,41.2,8.1,24.4,17.7,"97820.0","Doctoral or professional degree","None","None","2012"
"1381","Oral and maxillofacial surgeons
 Show/hide Example Job Titles","29-1022",6.7,7.8,1.1,16.1,2.7,">=187,200","Doctoral or professional degree","None","Internship/residency","2012"
"1382","Order clerks
 Show/hide Example Job Titles","43-4151",212.7,207.4,-5.3,-2.5,56,"29480.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1383","Orderlies
 Show/hide Example Job Titles","31-1015",54.6,63.6,9.1,16.6,19.4,"23990.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1384","Orthodontists
 Show/hide Example Job Titles","29-1023",7.5,8.7,1.2,16.3,3,">=187,200","Doctoral or professional degree","None","Internship/residency","2012"
"1385","Orthotists and prosthetists
 Show/hide Example Job Titles","29-2091",8.5,11.5,3,35.5,3.8,"62670.0","Master's degree","None","Internship/residency","2012"
"1386","Outdoor power equipment and other small engine mechanics
 Show/hide Example Job Titles","49-3053",30.5,32.2,1.7,5.5,8.1,"30510.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1387","Packaging and filling machine operators and tenders
 Show/hide Example Job Titles","51-9111",369.2,371.4,2.3,0.6,89.3,"25860.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1388","Packers and packagers, hand
 Show/hide Example Job Titles","53-7064",666.9,707,40.1,6,215,"19910.0","Less than high school","None","Short-term on-the-job training","2012"
"1389","Painters, construction and maintenance
 Show/hide Example Job Titles","47-2141",316.2,378.8,62.6,19.8,110.5,"35190.0","Less than high school","None","Moderate-term on-the-job training","2012"
"1390","Painters, transportation equipment
 Show/hide Example Job Titles","51-9122",48.9,54,5.1,10.4,14,"39600.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1391","Painting, coating, and decorating workers
 Show/hide Example Job Titles","51-9123",17,17,0,0.2,3.1,"27790.0","Less than high school","None","Moderate-term on-the-job training","2012"
"1392","Paper goods machine setters, operators, and tenders
 Show/hide Example Job Titles","51-9196",95,87.5,-7.6,-8,8.5,"34690.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1393","Paperhangers
 Show/hide Example Job Titles","47-2142",3.5,3.4,0,-0.5,0.6,"34600.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1394","Paralegals and legal assistants
 Show/hide Example Job Titles","23-2011",277,323.3,46.2,16.7,91.2,"46990.0","Associate's degree","None","None","2012"
"1395","Parking enforcement workers
 Show/hide Example Job Titles","33-3041",9.7,9.7,0,-0.2,2.8,"35690.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1396","Parking lot attendants
 Show/hide Example Job Titles","53-6021",128.3,137.6,9.3,7.3,70.9,"19540.0","Less than high school","None","Short-term on-the-job training","2012"
"1397","Parts salespersons
 Show/hide Example Job Titles","41-2022",221.3,236.8,15.5,7,71.6,"29550.0","Less than high school","None","Moderate-term on-the-job training","2012"
"1398","Patternmakers, metal and plastic
 Show/hide Example Job Titles","51-4062",4.4,4.7,0.3,6,1.1,"42440.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1399","Patternmakers, wood
 Show/hide Example Job Titles","51-7032",0.8,0.8,0,0.2,0.1,"39840.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1400","Paving, surfacing, and tamping equipment operators
 Show/hide Example Job Titles","47-2071",54.7,65.5,10.8,19.7,18.7,"35840.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1401","Payroll and timekeeping clerks
 Show/hide Example Job Titles","43-3051",179.5,202,22.5,12.5,61.9,"37690.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1402","Pediatricians, general
 Show/hide Example Job Titles","29-1065",34.7,40.1,5.4,15.7,14.1,"154650.0","Doctoral or professional degree","None","Internship/residency","2012"
"1403","Personal care aides
 Show/hide Example Job Titles","39-9021",1190.6,1771.4,580.8,48.8,666,"19910.0","Less than high school","None","Short-term on-the-job training","2012"
"1404","Personal care and service workers, all other
 Show/hide Example Job Titles","39-9099",97.1,108,10.8,11.1,37.9,"20600.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1405","Personal financial advisors
 Show/hide Example Job Titles","13-2052",223.4,283.7,60.3,27,96.4,"67520.0","Bachelor's degree","None","None","2012"
"1406","Pest control workers
 Show/hide Example Job Titles","37-2021",65.4,78.2,12.8,19.7,30.6,"30060.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1407","Pesticide handlers, sprayers, and applicators, vegetation
 Show/hide Example Job Titles","37-3012",29.6,33,3.3,11.2,10.8,"30270.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1408","Petroleum engineers
 Show/hide Example Job Titles","17-2171",38.5,48.4,9.8,25.5,19.6,"130280.0","Bachelor's degree","None","None","2012"
"1409","Petroleum pump system operators, refinery operators, and gaugers
 Show/hide Example Job Titles","51-8093",41.9,39.8,-2.1,-5.1,15.5,"61850.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1410","Pharmacists
 Show/hide Example Job Titles","29-1051",286.4,327.8,41.4,14.5,109.8,"116670.0","Doctoral or professional degree","None","None","2012"
"1411","Pharmacy aides
 Show/hide Example Job Titles","31-9095",42.9,47.6,4.8,11.1,12.9,"21860.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1412","Pharmacy technicians
 Show/hide Example Job Titles","29-2052",355.3,426.1,70.7,19.9,105.9,"29320.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1413","Philosophy and religion teachers, postsecondary
 Show/hide Example Job Titles","25-1126",30.8,36.7,6,19.3,10.6,"64990.0","Doctoral or professional degree","None","None","2012"
"1414","Phlebotomists
 Show/hide Example Job Titles","31-9097",101.3,128.4,27.1,26.7,46.4,"29730.0","Postsecondary non-degree award","None","None","2012"
"1415","Photographers
 Show/hide Example Job Titles","27-4021",136.3,142.2,5.9,4.3,20.3,"28490.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1416","Photographic process workers and processing machine operators
 Show/hide Example Job Titles","51-9151",47.1,47.2,0.1,0.2,13.9,"23120.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1417","Physical scientists, all other
 Show/hide Example Job Titles","19-2099",31.2,33.1,1.8,5.9,8.3,"91640.0","Bachelor's degree","None","None","2012"
"1418","Physical therapist aides
 Show/hide Example Job Titles","31-2022",50,70.1,20.1,40.1,31.2,"23880.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1419","Physical therapist assistants
 Show/hide Example Job Titles","31-2021",71.4,100.7,29.3,41,45.1,"52160.0","Associate's degree","None","None","2012"
"1420","Physical therapists
 Show/hide Example Job Titles","29-1123",204.2,277.7,73.5,36,123.7,"79860.0","Doctoral or professional degree","None","None","2012"
"1421","Physician assistants
 Show/hide Example Job Titles","29-1071",86.7,120,33.3,38.4,48.9,"90930.0","Master's degree","None","None","2012"
"1422","Physicians and surgeons, all other
 Show/hide Example Job Titles","29-1069",348.9,414.2,65.3,18.7,152.6,">=187,200","Doctoral or professional degree","None","Internship/residency","2012"
"1423","Physicists
 Show/hide Example Job Titles","19-2012",20.6,22.7,2.1,10.4,7.2,"106840.0","Doctoral or professional degree","None","None","2012"
"1424","Physics teachers, postsecondary
 Show/hide Example Job Titles","25-1054",17.4,19.8,2.4,13.8,5,"78540.0","Doctoral or professional degree","None","None","2012"
"1425","Pile-driver operators
 Show/hide Example Job Titles","47-2072",3.8,4.8,1,27.5,1.7,"48480.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1426","Pipelayers
 Show/hide Example Job Titles","47-2151",48.5,58.6,10.1,20.8,16.1,"36180.0","Less than high school","None","Short-term on-the-job training","2012"
"1427","Plant and system operators, all other
 Show/hide Example Job Titles","51-8099",11.9,12,0.1,0.7,4.5,"53130.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1428","Plasterers and stucco masons
 Show/hide Example Job Titles","47-2161",22.8,26.2,3.4,15,4.5,"37130.0","Less than high school","None","Long-term on-the-job training","2012"
"1429","Plating and coating machine setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4193",35,31.9,-3,-8.6,6.7,"29720.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1430","Plumbers, pipefitters, and steamfitters
 Show/hide Example Job Titles","47-2152",386.9,469.2,82.3,21.3,130.5,"49140.0","High school diploma or equivalent","None","Apprenticeship","2012"
"1431","Podiatrists
 Show/hide Example Job Titles","29-1081",10.7,13.1,2.4,22.5,4.6,"116440.0","Doctoral or professional degree","None","Internship/residency","2012"
"1432","Police and sheriff's patrol officers
 Show/hide Example Job Titles","33-3051",653.8,692.7,38.8,5.9,243.9,"55270.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1433","Police, fire, and ambulance dispatchers
 Show/hide Example Job Titles","43-5031",98.5,106.2,7.6,7.7,36,"36300.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1434","Political science teachers, postsecondary
 Show/hide Example Job Titles","25-1065",21.1,24.1,3.1,14.6,6.2,"72170.0","Doctoral or professional degree","None","None","2012"
"1435","Political scientists
 Show/hide Example Job Titles","19-3094",6.6,8,1.4,21.3,2.5,"102000.0","Master's degree","None","None","2012"
"1436","Postal service clerks
 Show/hide Example Job Titles","43-5051",66.9,45.7,-21.3,-31.8,10.2,"53090.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1437","Postal service mail carriers
 Show/hide Example Job Titles","43-5052",295.1,215.8,-79.2,-26.8,102.7,"56490.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1438","Postal service mail sorters, processors, and processing machine operators
 Show/hide Example Job Titles","43-5053",129.6,91,-38.6,-29.8,9.4,"53090.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1439","Postmasters and mail superintendents
 Show/hide Example Job Titles","2641374.0",23,17.4,-5.6,-24.2,5,"63050.0","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2012"
"1440","Postsecondary teachers, all other
 Show/hide Example Job Titles","25-1199",248,280.2,32.2,13,69.5,"64290.0","Doctoral or professional degree","None","None","2012"
"1441","Pourers and casters, metal
 Show/hide Example Job Titles","51-4052",10.7,8.7,-2,-18.7,1.4,"34060.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1442","Power distributors and dispatchers
 Show/hide Example Job Titles","51-8012",11.7,11.6,-0.1,-0.9,3.6,"71690.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1443","Power plant operators
 Show/hide Example Job Titles","51-8013",41.8,37.2,-4.5,-10.8,12.9,"66130.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1444","Precision instrument and equipment repairers, all other
 Show/hide Example Job Titles","49-9069",13.8,14.4,0.6,4.5,4.5,"52270.0","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"1445","Prepress technicians and workers
 Show/hide Example Job Titles","51-5111",42.7,37.2,-5.5,-12.9,10.9,"37260.0","Postsecondary non-degree award","None","None","2012"
"1446","Preschool teachers, except special education
 Show/hide Example Job Titles","25-2011",438.2,514.6,76.4,17.4,199.4,"27130.0","Associate's degree","None","None","2012"
"1447","Pressers, textile, garment, and related materials
 Show/hide Example Job Titles","51-6021",54.3,55.7,1.4,2.6,6.9,"19670.0","Less than high school","None","Short-term on-the-job training","2012"
"1448","Print binding and finishing workers
 Show/hide Example Job Titles","51-5113",54.9,52.9,-2,-3.7,9.6,"29750.0","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"1449","Printing press operators
 Show/hide Example Job Titles","51-5112",178.4,171.4,-7,-3.9,31.4,"34690.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1450","Private detectives and investigators
 Show/hide Example Job Titles","33-9021",30,33.3,3.3,11.2,11.8,"45740.0","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2012"
"1451","Probation officers and correctional treatment specialists
 Show/hide Example Job Titles","21-1092",90.3,89.3,-0.9,-1,23.6,"48190.0","Bachelor's degree","None","Short-term on-the-job training","2012"
"1452","Procurement clerks
 Show/hide Example Job Titles","43-3061",72.2,73.6,1.4,2,27.6,"38220.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"1453","Producers and directors
 Show/hide Example Job Titles","27-2012",103.5,106.4,2.9,2.8,37.9,"71350.0","Bachelor's degree","Less than 5 years","None","2012"
