"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"357","Graduate teaching assistants
 Show/hide Example Job Titles","25-1191",159.2,169.1,9.9,6.2,38,"34240.0","Bachelor's degree","None","None","2014"
"358","Graphic designers
 Show/hide Example Job Titles","27-1024",261.6,265.2,3.6,1.4,65.8,"47640.0","Bachelor's degree","None","None","2014"
"359","Grinding and polishing workers, hand
 Show/hide Example Job Titles","51-9022",29.9,27.3,-2.6,-8.8,6.5,"28720.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"360","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4033",71.4,55.8,-15.7,-21.9,29.8,"32890.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"361","Grounds maintenance workers, all other
 Show/hide Example Job Titles","37-3019",24.5,26.1,1.6,6.4,6,"28470.0","No formal educational credential","None","Short-term on-the-job training","2014"
"362","Hairdressers, hairstylists, and cosmetologists
 Show/hide Example Job Titles","39-5012",597.2,655.6,58.4,9.8,212.1,"24260.0","Postsecondary nondegree award","None","None","2014"
"363","Hazardous materials removal workers
 Show/hide Example Job Titles","47-4041",43.7,47,3.3,7.4,13,"40640.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"364","Health and safety engineers, except mining safety engineers and inspectors
 Show/hide Example Job Titles","17-2111",25.2,26.8,1.6,6.2,9,"86720.0","Bachelor's degree","None","None","2014"
"365","Health diagnosing and treating practitioners, all other
 Show/hide Example Job Titles","29-1199",50.1,56.1,6,12,17.7,"74530.0","Master's degree","None","None","2014"
"366","Health educators
 Show/hide Example Job Titles","21-1091",61.4,68.9,7.5,12.2,19.5,"53070.0","Bachelor's degree","None","None","2014"
"367","Health specialties teachers, postsecondary
 Show/hide Example Job Titles","25-1071",210.4,250.4,40,19,77.2,"99360.0","Doctoral or professional degree","Less than 5 years","None","2014"
"368","Health technologists and technicians, all other
 Show/hide Example Job Titles","29-2099",102.2,125.9,23.6,23.1,33.8,"41070.0","High school diploma or equivalent","None","None","2014"
"369","Healthcare practitioners and technical workers, all other
 Show/hide Example Job Titles","29-9099",44.2,50.3,6.1,13.8,14.9,"48820.0","Postsecondary nondegree award","None","None","2014"
"370","Healthcare social workers
 Show/hide Example Job Titles","21-1022",160.1,191,30.9,19.3,69.5,"53760.0","Master's degree","None","None","2014"
"371","Healthcare support workers, all other
 Show/hide Example Job Titles","31-9099",102.7,114.7,12,11.7,33.4,"36330.0","High school diploma or equivalent","None","None","2014"
"372","Hearing aid specialists
 Show/hide Example Job Titles","29-2092",5.9,7.5,1.6,27.2,2.2,"50250.0","High school diploma or equivalent","None","None","2014"
"373","Heat treating equipment setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4191",21.3,17.2,-4.2,-19.6,3.7,"37180.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"374","Heating, air conditioning, and refrigeration mechanics and installers
 Show/hide Example Job Titles","49-9021",292,331.6,39.6,13.6,84.2,"45910.0","Postsecondary nondegree award","None","Long-term on-the-job training","2014"
"375","Heavy and tractor-trailer truck drivers
 Show/hide Example Job Titles","53-3032",1797.7,1896.4,98.8,5.5,404.5,"41340.0","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"376","Helpers, construction trades, all other
 Show/hide Example Job Titles","47-3019",19.5,21.5,2,10.2,4.4,"29270.0","No formal educational credential","None","Short-term on-the-job training","2014"
"377","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters
 Show/hide Example Job Titles","47-3011",23.5,28.8,5.3,22.4,8.2,"30570.0","No formal educational credential","None","Short-term on-the-job training","2014"
"378","Helpers--carpenters
 Show/hide Example Job Titles","47-3012",39.7,42.7,3,7.5,8,"28810.0","No formal educational credential","None","Short-term on-the-job training","2014"
"379","Helpers--electricians
 Show/hide Example Job Titles","47-3013",69,81.5,12.5,18,21.1,"29530.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"380","Helpers--extraction workers
 Show/hide Example Job Titles","47-5081",25.8,29,3.2,12.6,6.2,"35790.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"381","Helpers--installation, maintenance, and repair workers
 Show/hide Example Job Titles","49-9098",129,141.2,12.2,9.4,53.8,"27510.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"382","Helpers--painters, paperhangers, plasterers, and stucco masons
 Show/hide Example Job Titles","47-3014",11.9,13.1,1.2,10.5,2.7,"27310.0","No formal educational credential","None","Short-term on-the-job training","2014"
"383","Helpers--pipelayers, plumbers, pipefitters, and steamfitters
 Show/hide Example Job Titles","47-3015",52.4,59.4,7,13.4,13.6,"29030.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"384","Helpers--production workers
 Show/hide Example Job Titles","51-9198",419.2,403.2,-16.1,-3.8,136.8,"24830.0","No formal educational credential","None","Short-term on-the-job training","2014"
"385","Helpers--roofers
 Show/hide Example Job Titles","47-3016",11.3,13,1.7,15.3,3.1,"27670.0","No formal educational credential","None","Short-term on-the-job training","2014"
"386","Highway maintenance workers
 Show/hide Example Job Titles","47-4051",151.3,158.6,7.3,4.8,47.6,"38130.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"387","Historians
 Show/hide Example Job Titles","19-3093",3.5,3.5,0.1,1.7,0.5,"55110.0","Master's degree","None","None","2014"
"388","History teachers, postsecondary
 Show/hide Example Job Titles","25-1125",29.2,32.1,2.9,10,8.1,"71820.0","Doctoral or professional degree","None","None","2014"
"389","Hoist and winch operators
 Show/hide Example Job Titles","53-7041",2.9,2.9,0,1.7,0.9,"42530.0","No formal educational credential","None","Short-term on-the-job training","2014"
"390","Home appliance repairers
 Show/hide Example Job Titles","49-9031",46.4,44.8,-1.6,-3.4,12.5,"37570.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"391","Home economics teachers, postsecondary
 Show/hide Example Job Titles","25-1192",4.3,3.8,-0.5,-11.6,0.8,"69190.0","Master's degree","None","None","2014"
"392","Home health aides
 Show/hide Example Job Titles","31-1011",913.5,1261.9,348.4,38.1,554.8,"22600.0","No formal educational credential","None","Short-term on-the-job training","2014"
"393","Hosts and hostesses, restaurant, lounge, and coffee shop
 Show/hide Example Job Titles","35-9031",376.4,393.2,16.7,4.4,283.8,"19980.0","No formal educational credential","None","None","2014"
"394","Hotel, motel, and resort desk clerks
 Show/hide Example Job Titles","43-4081",243.2,265.1,21.9,9,147.7,"22070.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"395","Human resources assistants, except payroll and timekeeping
 Show/hide Example Job Titles","43-4161",140.6,134.8,-5.8,-4.1,15.9,"39020.0","Associate's degree","None","None","2014"
"396","Human resources managers
 Show/hide Example Job Titles","446267.0",122.5,133.3,10.8,8.8,46.6,"106910.0","Bachelor's degree","5 years or more","None","2014"
"397","Human resources specialists
 Show/hide Example Job Titles","13-1071",482,503.9,22,4.6,139.3,"59180.0","Bachelor's degree","None","None","2014"
"398","Hydrologists
 Show/hide Example Job Titles","19-2043",7,7.5,0.5,6.9,2.6,"80480.0","Bachelor's degree","None","None","2014"
"399","Industrial engineering technicians
 Show/hide Example Job Titles","17-3026",66.5,63.5,-3,-4.5,16.3,"53330.0","Associate's degree","None","None","2014"
