"","employment","Total","median","code","year","code2","degrees","number","edu"
"289","Cost estimators",118.5,"46.7","13-1051","2012","13-105","less.hs",4.38,"hs-"
"290","Counter and rental clerks",120,"44.1","41-2021","2012","41-202","less.hs",15.36,"hs-"
"291","Couriers and messengers",205.5,"46.1","43-5021","2012","43-502","less.hs",15.41,"hs-"
"292","Court, municipal, and license clerks",83,"48.4","43-4031","2012","43-403","less.hs",0.83,"hs-"
"293","Crane and tower operators",67,"45.1","53-7021","2012","53-702","less.hs",11.46,"hs-"
"294","Credit analysts",30,"–","13-2041","2012","13-204","less.hs",0.3,"hs-"
"295","Credit authorizers, checkers, and clerks",41.5,"–","43-4041","2012","43-404","less.hs",0.5,"hs-"
"296","Crossing guards",61,"50.2","33-9091","2012","33-909","less.hs",11.77,"hs-"
"297","Customer service representatives",2012.5,"36.700000000000003","43-4051","2012","43-405","less.hs",80.5,"hs-"
"298","Data entry keyers",322,"41.9","43-9021","2012","43-902","less.hs",9.02,"hs-"
"299","Database administrators",99.5,"42","15-1141","2012","15-114","less.hs",1,"hs-"
"300","Dental assistants",276.5,"36.799999999999997","31-9091","2012","31-909","less.hs",7.47,"hs-"
"301","Dental hygienists",173.5,"43.9","29-2021","2012","29-202","less.hs",1.04,"hs-"
"302","Detectives and criminal investigators",159,"43.5","33-3021","2012","33-302","less.hs",0.64,"hs-"
"303","Dietitians and nutritionists",113,"45.5","29-1031","2012","29-103","less.hs",3.73,"hs-"
"304","Directors, religious activities and education",59,"45","21-2021","2012","21-202","less.hs",1.3,"hs-"
"305","Dishwashers",286,"29","35-9021","2012","35-902","less.hs",125.27,"hs-"
"306","Door-to-door sales workers, news and street vendors, and related workers",194.5,"46.7","41-9091","2012","41-909","less.hs",31.12,"hs-"
"307","Earth drillers, except oil and gas",34,"–","47-5021","2012","47-502","less.hs",5.88,"hs-"
"308","Economists",30,"–","19-3011","2012","19-301","less.hs",0.24,"hs-"
"309","Editors",154.5,"40","27-3041","2012","27-304","less.hs",0.77,"hs-"
"310","Electrical power-line installers and repairers",113.5,"38.9","49-9051","2012","49-905","less.hs",5.11,"hs-"
"311","Electricians",711,"42.8","47-2111","2012","47-211","less.hs",54.75,"hs-"
"312","Elevator installers and repairers",26.5,"–","47-4021","2012","47-402","less.hs",1.11,"hs-"
"313","Eligibility interviewers, government programs",83.5,"45.1","43-4061","2012","43-406","less.hs",1,"hs-"
"314","Emergency medical technicians and paramedics",174,"34.6","29-2041","2012","29-204","less.hs",1.39,"hs-"
"315","Engine and other machine assemblers",26,"–","51-2031","2012","51-203","less.hs",2.68,"hs-"
"316","Entertainers and performers, sports and related workers, all other",38,"–","27-2099","2012","27-209","less.hs",1.67,"hs-"
"317","Environmental engineers",38,"–","17-2081","2012","17-208","less.hs",0.15,"hs-"
"318","Explosives workers, ordnance handling experts, and blasters",8,"–","47-5031","2012","47-503","less.hs",0.74,"hs-"
"319","Extruding and drawing machine setters, operators, and tenders, metal and plastic",11.5,"–","51-4021","2012","51-402","less.hs",1.02,"hs-"
"320","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",35.5,"–","51-9041","2012","51-904","less.hs",6.85,"hs-"
"321","Fence erectors",34,"–","47-4031","2012","47-403","less.hs",12.14,"hs-"
"322","File clerks",274.5,"40.799999999999997","43-4071","2012","43-407","less.hs",11.53,"hs-"
"323","Financial analysts",97,"38.700000000000003","13-2051","2012","13-205","less.hs",0.19,"hs-"
"324","Financial clerks, all other",53.5,"42.7","43-3099","2012","43-309","less.hs",0.43,"hs-"
"325","Financial examiners",14,"–","13-2061","2012","13-206","less.hs",0.1,"hs-"
"326","Financial specialists, all other",88,"40.5","13-2099","2012","13-209","less.hs",1.06,"hs-"
"327","Firefighters",300.5,"40.1","33-2011","2012","33-201","less.hs",3,"hs-"
"328","First-line supervisors of construction trades and extraction workers",632.5,"46.2","47-1011","2012","47-101","less.hs",86.65,"hs-"
"329","First-line supervisors of correctional officers",41,"–","33-1011","2012","33-101","less.hs",0.41,"hs-"
"330","First-line supervisors of farming, fishing, and forestry workers",49,"–","45-1011","2012","45-101","less.hs",15.83,"hs-"
"331","First-line supervisors of fire fighting and prevention workers",61,"45.6","33-1021","2012","33-102","less.hs",0.06,"hs-"
"332","First-line supervisors of housekeeping and janitorial workers",299.5,"48.6","37-1011","2012","37-101","less.hs",45.22,"hs-"
"333","First-line supervisors of mechanics, installers, and repairers",279,"48.1","49-1011","2012","49-101","less.hs",17.02,"hs-"
"334","First-line supervisors of office and administrative support workers",1389.5,"45.7","43-1011","2012","43-101","less.hs",36.13,"hs-"
"335","First-line supervisors of personal service workers",237,"44.7","39-1021","2012","39-102","less.hs",11.61,"hs-"
"336","First-line supervisors of production and operating workers",769.5,"47.2","51-1011","2012","51-101","less.hs",73.87,"hs-"
"337","First-line supervisors of protective service workers, all other",96.5,"47","33-1099","2012","33-109","less.hs",2.51,"hs-"
"338","First-line supervisors of retail sales workers",3230,"43","41-1011","2012","41-101","less.hs",184.11,"hs-"
"339","Flight attendants",88.5,"49.4","53-2031","2012","53-203","less.hs",0.44,"hs-"
"340","Food and tobacco roasting, baking, and drying machine operators and tenders",10.5,"–","51-3091","2012","51-309","less.hs",1.84,"hs-"
"341","Food preparation workers",876.5,"27.8","35-2021","2012","35-202","less.hs",249.8,"hs-"
"342","Food servers, nonrestaurant",223,"33.200000000000003","35-3041","2012","35-304","less.hs",40.81,"hs-"
"343","Forest and conservation workers",13.5,"–","45-4011","2012","45-401","less.hs",3.46,"hs-"
"344","Fundraisers",83.5,"42.9","13-1131","2012","13-113","less.hs",1.25,"hs-"
"345","Furnace, kiln, oven, drier, and kettle operators and tenders",15.5,"–","51-9051","2012","51-905","less.hs",2.48,"hs-"
"346","Furniture finishers",7,"–","51-7021","2012","51-702","less.hs",1.72,"hs-"
"347","Gaming cage workers",11,"–","43-3041","2012","43-304","less.hs",0.62,"hs-"
"348","General and operations managers",1069.5,"45.6","11-1021","2012","11-102","less.hs",22.46,"hs-"
"349","Glaziers",41.5,"–","47-2121","2012","47-212","less.hs",8.18,"hs-"
"350","Graders and sorters, agricultural products",106,"42.4","45-2041","2012","45-204","less.hs",63.39,"hs-"
"351","Hazardous materials removal workers",35,"–","47-4041","2012","47-404","less.hs",7.35,"hs-"
"352","Health diagnosing and treating practitioners, all other",24,"–","29-1199","2012","29-119","less.hs",0.29,"hs-"
"353","Heating, air conditioning, and refrigeration mechanics and installers",362,"41.1","49-9021","2012","49-902","less.hs",42.35,"hs-"
"354","Highway maintenance workers",102.5,"48.1","47-4051","2012","47-405","less.hs",13.12,"hs-"
"355","Home appliance repairers",49.5,"48.2","49-9031","2012","49-903","less.hs",5.4,"hs-"
"356","Hosts and hostesses, restaurant, lounge, and coffee shop",279.5,"21.8","35-9031","2012","35-903","less.hs",32.98,"hs-"
"357","Hotel, motel, and resort desk clerks",111,"30.1","43-4081","2012","43-408","less.hs",5.99,"hs-"
"358","Human resources assistants, except payroll and timekeeping",132.5,"42.6","43-4161","2012","43-416","less.hs",3.18,"hs-"
"359","Industrial truck and tractor operators",547,"40","53-7051","2012","53-705","less.hs",123.62,"hs-"
"360","Information and record clerks, all other",103.5,"44.2","43-4199","2012","43-419","less.hs",1.66,"hs-"
"361","Inspectors, testers, sorters, samplers, and weighers",687.5,"43.8","51-9061","2012","51-906","less.hs",73.56,"hs-"
"362","Insurance claims and policy processing clerks",258.5,"41.5","43-9041","2012","43-904","less.hs",3.62,"hs-"
"363","Insurance sales agents",571,"45.6","41-3021","2012","41-302","less.hs",5.71,"hs-"
"364","Interviewers, except eligibility and loan",140.5,"42.2","43-4111","2012","43-411","less.hs",2.11,"hs-"
"365","Jewelers and precious stone and metal workers",50,"48.6","51-9071","2012","51-907","less.hs",7.85,"hs-"
"366","Laundry and dry-cleaning workers",176,"43.2","51-6011","2012","51-601","less.hs",60.19,"hs-"
"367","Librarians",187.5,"50.5","25-4021","2012","25-402","less.hs",0.38,"hs-"
"368","Library assistants, clerical",92,"39.4","43-4121","2012","43-412","less.hs",1.01,"hs-"
"369","Library technicians",42,"–","25-4031","2012","25-403","less.hs",1.34,"hs-"
"370","Licensed practical and licensed vocational nurses",544.5,"43.8","29-2061","2012","29-206","less.hs",7.62,"hs-"
"371","Loan interviewers and clerks",156,"39.9","43-4131","2012","43-413","less.hs",2.18,"hs-"
"372","Logisticians",91,"46.1","13-1081","2012","13-108","less.hs",1.27,"hs-"
"373","Machinists",397.5,"46.2","51-4041","2012","51-404","less.hs",38.96,"hs-"
"374","Mail clerks and mail machine operators, except postal service",78,"50","43-9051","2012","43-905","less.hs",6.4,"hs-"
"375","Maintenance and repair workers, general",452,"47.9","49-9071","2012","49-907","less.hs",62.38,"hs-"
"376","Management analysts",792,"47.2","13-1111","2012","13-111","less.hs",3.96,"hs-"
"377","Marine engineers and naval architects",9.5,"–","17-2121","2012","17-212","less.hs",0,"hs-"
"378","Market research analysts and marketing specialists",230,"38.5","13-1161","2012","13-116","less.hs",1.61,"hs-"
"379","Massage therapists",165,"41.8","31-9011","2012","31-901","less.hs",3.79,"hs-"
"380","Materials engineers",43,"–","17-2131","2012","17-213","less.hs",0,"hs-"
"381","Mechanical engineers",307.5,"42.4","17-2141","2012","17-214","less.hs",0.31,"hs-"
"382","Medical records and health information technicians",89,"49.8","29-2071","2012","29-207","less.hs",1.6,"hs-"
"383","Meeting, convention, and event planners",128.5,"37.6","13-1121","2012","13-112","less.hs",1.93,"hs-"
"384","Meter readers, utilities",29,"–","43-5041","2012","43-504","less.hs",1.13,"hs-"
"385","Morticians, undertakers, and funeral directors",38.5,"–","39-4031","2012","39-403","less.hs",0.27,"hs-"
"386","Motion picture projectionists",3.5,"–","39-3021","2012","39-302","less.hs",0.07,"hs-"
"387","Motor vehicle operators, all other",68.5,"59.3","53-3099","2012","53-309","less.hs",8.97,"hs-"
"388","New accounts clerks",25.5,"–","43-4141","2012","43-414","less.hs",0.2,"hs-"
"389","Nonfarm animal caretakers",177,"32.1","39-2021","2012","39-202","less.hs",18.05,"hs-"
"390","Nurse anesthetists",25.5,"–","29-1151","2012","29-115","less.hs",0,"hs-"
"391","Occupational therapists",115,"40.700000000000003","29-1122","2012","29-112","less.hs",0.34,"hs-"
"392","Office clerks, general",1143.5,"42.7","43-9061","2012","43-906","less.hs",38.88,"hs-"
"393","Office machine operators, except computer",43.5,"–","43-9071","2012","43-907","less.hs",3.83,"hs-"
"394","Operations research analysts",129,"44.8","15-2031","2012","15-203","less.hs",0.77,"hs-"
"395","Opticians, dispensing",50.5,"–","29-2081","2012","29-208","less.hs",0.96,"hs-"
"396","Optometrists",37,"–","29-1041","2012","29-104","less.hs",0.04,"hs-"
"397","Packaging and filling machine operators and tenders",282.5,"39.9","51-9111","2012","51-911","less.hs",99.72,"hs-"
"398","Paralegals and legal assistants",411,"42","23-2011","2012","23-201","less.hs",4.11,"hs-"
"399","Parking lot attendants",84.5,"28.3","53-6021","2012","53-602","less.hs",16.22,"hs-"
"400","Paving, surfacing, and tamping equipment operators",22.5,"–","47-2071","2012","47-207","less.hs",8.26,"hs-"
"401","Payroll and timekeeping clerks",155.5,"47.6","43-3051","2012","43-305","less.hs",3.27,"hs-"
"402","Personal care aides",1156.5,"44.2","39-9021","2012","39-902","less.hs",196.61,"hs-"
"403","Personal care and service workers, all other",100,"35.299999999999997","39-9099","2012","39-909","less.hs",9.9,"hs-"
"404","Pest control workers",75,"42.9","37-2021","2012","37-202","less.hs",6.45,"hs-"
"405","Pharmacists",281.5,"42.7","29-1051","2012","29-105","less.hs",0.28,"hs-"
"406","Photographers",179,"40.1","27-4021","2012","27-402","less.hs",4.3,"hs-"
"407","Photographic process workers and processing machine operators",49,"–","51-9151","2012","51-915","less.hs",2.35,"hs-"
"408","Physical scientists, all other",156,"43.2","19-2099","2012","19-209","less.hs",0.16,"hs-"
"409","Physician assistants",118.5,"39.200000000000003","29-1071","2012","29-107","less.hs",0.59,"hs-"
"410","Plasterers and stucco masons",22.5,"–","47-2161","2012","47-216","less.hs",11.72,"hs-"
"411","Podiatrists",10.5,"–","29-1081","2012","29-108","less.hs",0.03,"hs-"
"412","Postal service clerks",124,"52.1","43-5051","2012","43-505","less.hs",3.1,"hs-"
"413","Prepress technicians and workers",31,"–","51-5111","2012","51-511","less.hs",3.47,"hs-"
"414","Pressers, textile, garment, and related materials",54.5,"45.7","51-6021","2012","51-602","less.hs",25.51,"hs-"
"415","Private detectives and investigators",94.5,"43.5","33-9021","2012","33-902","less.hs",0.85,"hs-"
"416","Procurement clerks",27,"–","43-3061","2012","43-306","less.hs",0.32,"hs-"
"417","Production, planning, and expediting clerks",277,"46.1","43-5061","2012","43-506","less.hs",8.03,"hs-"
"418","Proofreaders and copy markers",8.5,"–","43-9081","2012","43-908","less.hs",0.26,"hs-"
"419","Public relations specialists",152,"37.4","27-3031","2012","27-303","less.hs",0.91,"hs-"
"420","Rail-track laying and maintenance equipment operators",11.5,"–","47-4061","2012","47-406","less.hs",1.64,"hs-"
"421","Railroad conductors and yardmasters",51,"39","53-4031","2012","53-403","less.hs",0.71,"hs-"
"422","Receptionists and information clerks",1281.5,"37.6","43-4171","2012","43-417","less.hs",52.54,"hs-"
"423","Refuse and recyclable material collectors",107,"41.1","53-7081","2012","53-708","less.hs",35.52,"hs-"
"424","Registered nurses",2883.5,"44.2","29-1141","2012","29-114","less.hs",5.77,"hs-"
"425","Religious workers, all other",71.5,"47.1","21-2099","2012","21-209","less.hs",1.43,"hs-"
"426","Reservation and transportation ticket agents and travel clerks",118,"44.2","43-4181","2012","43-418","less.hs",2.71,"hs-"
"427","Residential advisors",49,"–","39-9041","2012","39-904","less.hs",1.52,"hs-"
"428","Retail salespersons",3285.5,"34.700000000000003","41-2031","2012","41-203","less.hs",216.84,"hs-"
"429","Roofers",199.5,"37.299999999999997","47-2181","2012","47-218","less.hs",90.97,"hs-"
"430","Sales engineers",31.5,"–","41-9031","2012","41-903","less.hs",0.22,"hs-"
"431","Sales representatives, services, all other",444.5,"42.1","41-3099","2012","41-309","less.hs",9.78,"hs-"
"432","Sawing machine setters, operators, and tenders, wood",31.5,"–","51-7041","2012","51-704","less.hs",11.62,"hs-"
"433","Securities, commodities, and financial services sales agents",279,"41.7","41-3031","2012","41-303","less.hs",1.67,"hs-"
"434","Sewing machine operators",162,"48","51-6031","2012","51-603","less.hs",70.15,"hs-"
"435","Sheet metal workers",118,"43.2","47-2211","2012","47-221","less.hs",17.35,"hs-"
"436","Shipping, receiving, and traffic clerks",545,"41.1","43-5071","2012","43-507","less.hs",71.94,"hs-"
"437","Stationary engineers and boiler operators",106,"48.6","51-8021","2012","51-802","less.hs",6.04,"hs-"
"438","Statistical assistants",28,"–","43-9111","2012","43-911","less.hs",0.7,"hs-"
"439","Stock clerks and order fillers",1480.5,"35.200000000000003","43-5081","2012","43-508","less.hs",202.83,"hs-"
"440","Structural iron and steel workers",57,"–","47-2221","2012","47-222","less.hs",9.52,"hs-"
"441","Structural metal fabricators and fitters",24,"–","51-2041","2012","51-204","less.hs",3.07,"hs-"
"442","Surveying and mapping technicians",65.5,"44.7","17-3031","2012","17-303","less.hs",2.95,"hs-"
"443","Switchboard operators, including answering service",33.5,"–","43-2011","2012","43-201","less.hs",1.57,"hs-"
"444","Tax examiners and collectors, and revenue agents",71,"45.6","13-2081","2012","13-208","less.hs",0.85,"hs-"
"445","Taxi drivers and chauffeurs",337,"49.2","53-3041","2012","53-304","less.hs",51.9,"hs-"
"446","Teacher assistants",908,"44.8","25-9041","2012","25-904","less.hs",23.61,"hs-"
"447","Telemarketers",95,"31.3","41-9041","2012","41-904","less.hs",5.13,"hs-"
"448","Telephone operators",35.5,"–","43-2021","2012","43-202","less.hs",2.06,"hs-"
"449","Tellers",374.5,"30.9","43-3071","2012","43-307","less.hs",6.37,"hs-"
"450","Tool and die makers",54.5,"51.1","51-4111","2012","51-411","less.hs",4.14,"hs-"
"451","Training and development specialists",122.5,"42.5","13-1151","2012","13-115","less.hs",1.84,"hs-"
